id,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,us_viewers_in_millions,views
450,6.8,481,9,450,2010-01-03,2010,MABF02,21,Thursdays with Abie,8.65,36227
452,7.1,532,11,452,2010-01-31,2010,MABF03,21,Million Dollar Maybe,5.11,40854
455,7.1,480,14,455,2010-03-14,2010,MABF04,21,Postcards from the Wedge,5.23,41357
457,5.7,675,16,457,2010-03-28,2010,MABF10,21,The Greatest Story Ever D'ohed,5.69,44070
462,6.9,491,21,462,2010-05-09,2010,MABF13,21,Moe Letter Blues,5.66,40904
464,6.6,507,23,464,2010-05-23,2010,MABF15,21,Judge Me Tender,5.74,41830
466,6.8,506,2,466,2010-10-03,2010,MABF17,22,Loan-a Lisa,8.59,35051
469,7.2,482,5,469,2010-11-14,2010,MABF20,22,"Lisa Simpson, This Isn't Your Life",8.97,40637
472,6.9,564,8,472,2010-12-05,2010,MABF22,22,The Fight Before Christmas,9.54,43781
473,7,528,9,473,2010-12-12,2010,MABF19,22,Donnie Fatso,7.18,40276
476,7,486,12,476,2011-01-23,2011,NABF05,22,Homer the Father,6.5,42691
478,7.2,559,14,478,2011-02-20,2011,NABF07,22,Angry Dad: The Movie,6.35,42693
480,6.1,481,16,480,2011-03-13,2011,NABF09,22,A Midsummer's Nice Dream,5.44,38893
482,7,491,18,482,2011-04-10,2011,NABF11,22,The Great Simpsina,4.99,41560
485,7.3,505,21,485,2011-05-15,2011,NABF14,22,500 Keys,6,46660
487,7.2,672,1,487,2011-09-25,2011,NABF16,23,The Falcon and the D'ohman,8.08,39209
489,6.6,654,3,489,2011-10-30,2011,NABF19,23,Treehouse of Horror XXII,8.1,63816
491,7.2,562,5,491,2011-11-13,2011,NABF20,23,The Food Wife,7.5,42746
494,6.2,476,8,494,2011-12-04,2011,PABF02,23,The Ten-Per-Cent Solution,9.01,39002
496,6.1,549,10,496,2012-01-08,2012,PABF03,23,"Politically Inept, with Homer Simpson",5.07,44074
498,5.7,562,12,498,2012-01-29,2012,PABF05,23,Moe Goes from Rags to Riches,5.12,39838
504,7.1,470,18,504,2012-04-15,2012,PABF11,23,Beware My Cheating Bart,4.86,43422
506,6.9,405,20,506,2012-05-06,2012,PABF13,23,The Spy Who Learned Me,4.84,43544
508,4.5,1215,22,508,2012-05-20,2012,PABF14,23,Lisa Goes Gaga,4.82,44434
513,6.3,426,5,513,2012-11-18,2012,PABF19,24,Penny-Wiseguys,5.06,36897
516,7.2,441,8,516,2012-12-16,2012,RABF01,24,To Cur with Love,3.77,40726
518,7,408,10,518,2013-01-13,2013,RABF03,24,A Test Before Trying,5.04,41542
520,6.5,471,12,520,2013-02-10,2013,RABF07,24,Love is a Many-Splintered Thing,4.19,41828
522,6.2,423,14,522,2013-03-03,2013,RABF06,24,Gorgeous Grampa,4.66,39510
525,6.5,425,17,525,2013-04-14,2013,RABF08,24,What Animated Women Want,4.11,43471
527,6.8,371,19,527,2013-05-05,2013,RABF13,24,Whiskey Business,4.43,42810
531,7,635,1,531,2013-09-29,2013,RABF20,25,Homerland,6.37,47531
534,6.7,489,4,534,2013-11-10,2013,RABF22,25,YOLO,4.2,44551
536,6.5,468,6,536,2013-11-24,2013,SABF02,25,The Kid Is All Right,6.78,39590
538,6.5,449,8,538,2013-12-15,2013,SABF01,25,White Christmas Blues,8.48,39290
541,7.2,431,11,541,2014-01-26,2014,SABF06,25,Specs and the City,3.87,44119
543,6.7,468,13,543,2014-03-09,2014,SABF07,25,The Man Who Grew Too Much,3.75,44512
545,7,414,15,545,2014-03-23,2014,SABF10,25,The War of Art,3.98,41726
547,6.5,415,17,547,2014-04-06,2014,SABF12,25,Luca$,4.3,45184
550,7.7,705,20,550,2014-05-04,2014,RABF21,25,Brick Like Me,4.39,65613
552,6.7,416,22,552,2014-05-18,2014,SABF18,25,The Yellow Badge of Cowardge,3.28,46408
554,6.9,490,2,554,2014-10-05,2014,SABF17,26,The Wreck of the Relationship,4.27,38411
557,6.3,442,5,557,2014-11-02,2014,SABF22,26,Opposites A-Frack,4.22,36410
559,6.9,456,7,559,2014-11-16,2014,TABF01,26,Blazed and Confused,6.7,43513
562,6.8,578,10,562,2015-01-04,2015,RABF15,26,The Man Who Came to Be Dinner,10.62,36622
564,5.8,439,12,564,2015-01-25,2015,TABF04,26,The Musk Who Fell to Earth,3.29,35848
570,6.7,334,18,570,2015-04-19,2015,TABF11,26,Peeping Mom,3.23,40157
573,6.8,335,21,573,2015-05-10,2015,TABF15,26,Bull-E,2.77,43978
576,6.7,395,2,576,2015-10-04,2015,TABF17,27,Cue Detective,6.02,178
580,6.8,335,6,580,2015-11-08,2015,TABF21,27,Friend with Benefit,3.48,175
583,8.4,698,9,583,2015-12-13,2015,VABF02,27,Barthood,5.97,182
585,6.8,309,11,585,2016-01-10,2016,VABF04,27,Teenage Mutant Milk-Caused Hurdles,8.33,172
588,6.6,293,14,588,2016-02-21,2016,VABF06,27,Gal of Constant Sorrow,3.1,144
590,7.3,262,16,590,2016-03-13,2016,VABF09,27,The Marge-ian Chronicles,3.07,201
593,7.1,229,19,593,2016-04-24,2016,VABF12,27,Fland Canyon,2.77,192
595,6.4,227,21,595,2016-05-15,2016,VABF13,27,Simprovised,2.8,228
465,6.3,691,1,465,2010-09-26,2010,MABF21,22,Elementary School Musical,7.75,31638
463,7.2,545,22,463,2010-05-16,2010,MABF11,21,The Bob Next Door,6.26,43446
